dates,stock,open,close,high,low,volume,category
2008-08-01,KO,51.9400,53.1400,53.2200,51.7400,16578000,Food
2008-07-31,KO,51.5000,51.5000,51.8500,51.2200,10608400,Food
2008-07-30,KO,51.8500,51.3100,52.0000,51.0000,9743500,Food
2008-07-29,KO,51.2100,51.5700,51.8100,51.1200,8122400,Food
2008-07-28,KO,52.0000,51.1500,52.0599,51.1100,7020000,Food
2008-07-25,KO,52.2500,52.0600,52.2500,51.5300,8426800,Food
2008-07-24,KO,52.5000,51.8600,52.8900,51.5300,10670200,Food
2008-07-23,KO,51.5200,52.5000,52.5500,51.0200,12912100,Food
2008-07-22,KO,50.1200,51.3500,52.1200,50.0600,21571300,Food
2008-07-21,KO,50.1000,49.6000,50.1000,49.4400,10880200,Food
2008-07-18,KO,50.4800,50.0300,50.4800,49.6500,18246900,Food
2008-07-17,KO,51.2000,50.3400,51.3600,49.7000,39607200,Food
2008-07-16,KO,51.8800,52.3400,52.6000,51.2500,13594200,Food
2008-07-15,KO,50.6500,51.7900,52.0000,50.5900,19228700,Food
2008-07-14,KO,50.5400,50.9600,51.2600,50.5400,12561500,Food
2008-07-11,KO,49.6600,50.2700,50.5000,49.5200,13463700,Food
2008-07-10,KO,50.9500,50.0400,50.9500,49.7000,15156300,Food
2008-07-09,KO,51.6300,50.8900,51.6400,50.8600,11602700,Food
2008-07-08,KO,51.0800,51.4700,51.6800,51.0000,13328700,Food
2008-07-07,KO,51.6700,51.2900,51.7800,51.0000,11701200,Food
2008-07-03,KO,51.3700,51.4800,51.7500,51.1900,7452200,Food
2008-07-02,KO,51.0100,51.3700,51.5600,50.8700,16252700,Food
2008-07-01,KO,51.9200,51.0000,51.9200,50.9200,17670300,Food
2008-06-30,KO,51.8600,51.9800,52.9000,51.4400,15071000,Food
2008-06-27,KO,53.1700,51.8400,53.2400,51.8300,17836600,Food
2008-06-26,KO,53.9200,53.2200,54.6200,53.1300,15266100,Food
2008-06-25,KO,53.4600,54.1000,54.5800,53.4000,11875300,Food
2008-06-24,KO,53.0100,53.3700,53.5200,52.6300,10913700,Food
2008-06-23,KO,53.8500,53.2600,53.8500,53.0200,8955300,Food
2008-06-20,KO,53.3210,53.6600,53.8900,52.9300,16636500,Food
2008-06-19,KO,53.4000,53.3600,53.6000,53.0000,12610600,Food
2008-06-18,KO,53.7800,53.1600,54.0000,53.1100,13018600,Food
2008-06-17,KO,54.5500,53.9600,54.7000,53.9600,14334300,Food
2008-06-16,KO,55.4200,54.1800,55.5200,54.0400,17692400,Food
2008-06-13,KO,57.0300,55.4200,57.1000,53.9200,30878300,Food
2008-06-12,KO,57.3100,57.1400,57.5900,56.7500,9522000,Food
2008-06-11,KO,57.7200,57.1400,57.8300,57.0100,11729500,Food
2008-06-10,KO,56.1300,58.0100,58.6000,56.0000,16340000,Food
2008-06-09,KO,56.1200,55.8600,56.2500,55.5000,9675800,Food
2008-06-06,KO,56.8400,55.8000,57.1100,55.7400,12473900,Food
2008-06-05,KO,56.8700,57.1900,57.2600,56.4600,7850700,Food
2008-06-04,KO,56.2500,56.7000,56.9700,56.2500,7485900,Food
